candidate_id,rank,score,reasoning
CAND_0071974,1,0.9608,"Senior AI Engineer | 7.8 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0018499,2,0.9549,"Senior Machine Learning Engineer | 7.2 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0002025,3,0.9522,"Senior AI Engineer | 5.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0039754,4,0.9492,"Senior Applied Scientist | 16.2 yrs exp | Match: 100 | Medium Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0046064,5,0.946,"Senior NLP Engineer | 8.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0081846,6,0.9434,"Lead AI Engineer | 6.7 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0077337,7,0.942,"Staff Machine Learning Engineer | 7.0 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0079387,8,0.9391,"AI Engineer | 6.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0011687,9,0.9355,"Senior NLP Engineer | 7.8 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0098846,10,0.9349,"AI Engineer | 7.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0093912,11,0.9348,"Senior Data Scientist | 5.3 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0078002,12,0.9342,"Machine Learning Engineer | 6.3 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0055992,13,0.9295,"AI Engineer | 16.9 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0052328,14,0.9289,"Recommendation Systems Engineer | 6.5 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Embeddings, and Pinecone"
CAND_0088025,15,0.9279,"Staff Machine Learning Engineer | 8.6 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0046525,16,0.9272,"Senior Machine Learning Engineer | 6.1 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0052682,17,0.9265,"NLP Engineer | 6.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0081852,18,0.9256,"Senior Data Scientist | 5.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Embeddings, Pinecone, and Weaviate"
CAND_0023215,19,0.9251,"Junior ML Engineer | 4.4 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Llm"
CAND_0099806,20,0.9249,"AI Engineer | 4.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0005538,21,0.9239,"Senior AI Engineer | 5.9 yrs exp | Match: 97.9 | Medium Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0041669,22,0.9239,"Recommendation Systems Engineer | 8.0 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0006418,23,0.9217,"Machine Learning Engineer | 5.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0007009,24,0.9208,"Recommendation Systems Engineer | 7.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Python, Retrieval, and Embeddings"
